month,anomaly_labels,evidence,candidate_causes,conclusion,confidence
2024-01,月度用电同比显著波动；低温采暖负荷可能上升；用电与GDP增速出现较大偏离,全社会用电量同比+37.56%；采暖度日447.0；月度用电同比与本季度累计GDP同比相差+31.36个百分点,春节在公历月份中的错位是同比异常的重要候选解释，应合并1—2月观察；低温可能增加电采暖及生活用电；产业结构、能效、天气、假期或统计频率不同可能造成偏离,只能给出候选解释，不能仅凭相关性认定因果,中高
2024-02,月度用电同比显著波动；低温采暖负荷可能上升；长假/月度工作日结构变化；用电与GDP增速出现较大偏离,全社会用电量同比-8.00%；采暖度日396.1；法定放假区间8天，工作日18天；月度用电同比与本季度累计GDP同比相差-14.20个百分点,春节在公历月份中的错位是同比异常的重要候选解释，应合并1—2月观察；低温可能增加电采暖及生活用电；长假、调休和春节月份错位会改变工业开工及商业用电节奏；产业结构、能效、天气、假期或统计频率不同可能造成偏离,只能给出候选解释，不能仅凭相关性认定因果,中高
2024-03,月度用电同比显著波动,全社会用电量同比+8.05%,,只能给出候选解释，不能仅凭相关性认定因果,中
2024-04,未触发强异常阈值,无强阈值证据,仍需结合行业用电、气温、价格和工作日结构进行常规解释,只能给出候选解释，不能仅凭相关性认定因果,低
2024-05,长假/月度工作日结构变化,法定放假区间5天，工作日21天,长假、调休和春节月份错位会改变工业开工及商业用电节奏,只能给出候选解释，不能仅凭相关性认定因果,低
2024-06,未触发强异常阈值,无强阈值证据,仍需结合行业用电、气温、价格和工作日结构进行常规解释,只能给出候选解释，不能仅凭相关性认定因果,低
2024-07,月度用电同比显著波动；高温制冷负荷显著,全社会用电量同比+9.78%；南京代表点≥35℃天数8天，制冷度日346.8,高温会抬升居民和服务业空调用电，但南京单点不能代表全省,只能给出候选解释，不能仅凭相关性认定因果,中
2024-08,月度用电同比显著波动；高温制冷负荷显著；用电与GDP增速出现较大偏离,全社会用电量同比+13.83%；南京代表点≥35℃天数10天，制冷度日374.3；月度用电同比与本季度累计GDP同比相差+8.13个百分点,高温会抬升居民和服务业空调用电，但南京单点不能代表全省；产业结构、能效、天气、假期或统计频率不同可能造成偏离,只能给出候选解释，不能仅凭相关性认定因果,中
2024-09,月度用电同比显著波动；高温制冷负荷显著；用电与GDP增速出现较大偏离,全社会用电量同比+13.74%；南京代表点≥35℃天数1天，制冷度日251.0；月度用电同比与本季度累计GDP同比相差+8.04个百分点,高温会抬升居民和服务业空调用电，但南京单点不能代表全省；产业结构、能效、天气、假期或统计频率不同可能造成偏离,只能给出候选解释，不能仅凭相关性认定因果,中
2024-10,长假/月度工作日结构变化,法定放假区间7天，工作日19天,长假、调休和春节月份错位会改变工业开工及商业用电节奏,只能给出候选解释，不能仅凭相关性认定因果,低
