edge_id,source_id,relation,target_id,properties_json
e:obs:electricity:2021-01:region,obs:electricity:2021-01,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2021-01:metric,obs:electricity:2021-01,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2021-01:time,obs:electricity:2021-01,AT_TIME,period:M:2021-01,{}
e:obs:electricity:2021-02:region,obs:electricity:2021-02,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2021-02:metric,obs:electricity:2021-02,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2021-02:time,obs:electricity:2021-02,AT_TIME,period:M:2021-02,{}
e:obs:electricity:2021-03:region,obs:electricity:2021-03,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2021-03:metric,obs:electricity:2021-03,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2021-03:time,obs:electricity:2021-03,AT_TIME,period:M:2021-03,{}
e:obs:electricity:2021-04:region,obs:electricity:2021-04,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2021-04:metric,obs:electricity:2021-04,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2021-04:time,obs:electricity:2021-04,AT_TIME,period:M:2021-04,{}
e:obs:electricity:2021-05:region,obs:electricity:2021-05,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2021-05:metric,obs:electricity:2021-05,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2021-05:time,obs:electricity:2021-05,AT_TIME,period:M:2021-05,{}
e:obs:electricity:2021-06:region,obs:electricity:2021-06,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2021-06:metric,obs:electricity:2021-06,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2021-06:time,obs:electricity:2021-06,AT_TIME,period:M:2021-06,{}
e:obs:electricity:2021-07:region,obs:electricity:2021-07,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2021-07:metric,obs:electricity:2021-07,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2021-07:time,obs:electricity:2021-07,AT_TIME,period:M:2021-07,{}
e:obs:electricity:2021-08:region,obs:electricity:2021-08,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2021-08:metric,obs:electricity:2021-08,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2021-08:time,obs:electricity:2021-08,AT_TIME,period:M:2021-08,{}
e:obs:electricity:2021-09:region,obs:electricity:2021-09,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2021-09:metric,obs:electricity:2021-09,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2021-09:time,obs:electricity:2021-09,AT_TIME,period:M:2021-09,{}
e:obs:electricity:2021-10:region,obs:electricity:2021-10,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2021-10:metric,obs:electricity:2021-10,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2021-10:time,obs:electricity:2021-10,AT_TIME,period:M:2021-10,{}
e:obs:electricity:2021-11:region,obs:electricity:2021-11,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2021-11:metric,obs:electricity:2021-11,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2021-11:time,obs:electricity:2021-11,AT_TIME,period:M:2021-11,{}
e:obs:electricity:2021-12:region,obs:electricity:2021-12,OBSERVED_IN,region:CN-ZJ,{}
e:obs:electricity:2021-12:metric,obs:electricity:2021-12,MEASURES,metric:electricity_total_monthly,{}
e:obs:electricity:2021-12:time,obs:electricity:2021-12,AT_TIME,period:M:2021-12,{}
e:obs:electricity:2022-01:region,obs:electricity:2022-01,OBSERVED_IN,region:CN-ZJ,{}
